7zip 25.01-1
intltool 0.51.0-6
iotop 0.6-12
iproute2 6.17.0-1
iptables 1:1.8.11-2
iputils 20250605-1
ipython 9.7.0-1
irssi 1.4.5-5
iso-codes 4.19.0-1
itstool 1:2.0.7-3
iw 6.17-1
jack2 1.9.22-1
jack2-dbus 1.9.22-1
jadx 1.5.1-1
jansson 2.14.1-1
jasper 4.2.8-1
java-commons-lang 3.20.0-1
java-environment-common 3-6
java-runtime-common 3-6
java8-openjfx 8.u202-3
jbig2dec 0.20-1
jbigkit 2.1-8
jdk-openjdk 25.0.1.u8-1
jdk11-openjdk 11.0.29.u7-1
jdk17-openjdk 17.0.17.u10-1
jdk8-openjdk 8.472.u08-1
jemalloc 1:5.3.0-5
jimtcl 0.83-3
jq 1.8.1-1
jre7-openjdk 7.u261_2.6.22-1
jre7-openjdk-headless 7.u261_2.6.22-1
jre8-openjdk 8.472.u08-1
jre8-openjdk-headless 8.472.u08-1
js60 60.9.0-2
js68 68.12.0-1
js78 78.15.0-4
json-c 0.18-2
json-glib 1.10.8-1
jsoncpp 1.9.6-3
jupyter-console 6.6.3-4
jupyter-nbclient 0.10.2-2
jupyter-nbformat 5.10.4-3
jxrlib 0.2.4-2
kaccounts-integration 25.08.3-1
kactivities5 5.116.0-2
karchive 6.20.0-1
karchive5 5.116.0-2
kauth 6.20.0-1
kauth5 5.116.0-2
kbd 2.9.0-1
kbookmarks 6.20.0-1
kbookmarks5 5.116.0-2
kcmutils 6.20.0-1
kcmutils5 5.116.0-2
kcodecs 6.20.0-1
kcodecs5 5.116.0-2
kcolorpicker-qt5 0.3.1-4
kcolorscheme 6.20.0-1
kcompletion 6.20.0-1
kcompletion5 5.116.0-2
kconfig 6.20.0-1
kconfig5 5.116.0-2
kconfigwidgets 6.20.0-1
kconfigwidgets5 5.116.0-3
kcoreaddons 6.20.0-1
kcoreaddons5 5.116.0-2
kcpuid 6.17-2
kcrash 6.20.0-1
kcrash5 5.116.0-2
kdbusaddons 6.20.0-1
kdbusaddons5 5.116.0-2
kdeclarative5 5.116.0-2
kded5 5.116.0-2
kdialog 25.08.3-1
kdnssd 6.20.0-1
kdnssd5 5.116.0-2
keyutils 1.6.3-3
kglobalaccel 6.20.0-1
kglobalaccel5 5.116.0-2
kguiaddons 6.20.0-1
kguiaddons5 5.116.0-2
ki18n 6.20.0-1
ki18n5 5.116.0-2
kicad 9.0.6-1
kicad-library 9.0.6-1
kicad-library-3d 9.0.6-1
kiconthemes 6.20.0-1
kiconthemes5 5.116.0-2
kimageannotator-qt5 0.7.1-3
kio 6.20.0-1
kio5 5.116.0-5
kirigami 6.20.0-1
kirigami2 5.116.0-2
kitemmodels 6.20.0-1
kitemviews 6.20.0-1
kitemviews5 5.116.0-2
kitty 0.44.0-1
kitty-shell-integration 0.44.0-1
kitty-terminfo 0.44.0-1
kjobwidgets 6.20.0-1
kjobwidgets5 5.116.0-2
kjs 5.115.0-1
kmines 25.08.3-1
kmod 34.2-1
knewstuff 6.20.0-1
knewstuff5 5.116.0-4
knotifications 6.20.0-1
knotifications5 5.116.0-3
kpackage 6.20.0-1
kpackage5 5.116.0-3
kparts 6.20.0-1
kparts5 5.116.0-2
kpipewire 6.5.3-1
kpty 6.20.0-1
kpty5 5.116.0-2
krb5 1.21.3-2
kservice 6.20.0-1
kservice5 5.116.0-3
kstatusnotifieritem 6.20.0-1
ktextwidgets 6.20.0-1
ktextwidgets5 5.116.0-2
kwallet 6.20.0-1
kwallet5 5.116.0-5
kwayland5 5.116.0-2
kwidgetsaddons 6.20.0-1
kwidgetsaddons5 5.116.0-2
kwindowsystem 6.20.0-1
kwindowsystem5 5.116.0-2
kxmlgui 6.20.0-1
kxmlgui5 5.116.0-2
l-smash 2.14.5-4
ladspa 1.17-6
lame 3.100-6
lapack 3.12.1-2
layer-shell-qt 6.5.3-1
lazypkg-git 1.0-1
lcalc 2.1.1-1
lcms2 2.17-1
lcov 2.3.2-1
ldb 2:4.23.3-2
ldns 1.8.4-1
leancrypto 1.6.0-1
lemonbar-git v1.3.r2.g35183ab-1
lensfun 1:0.3.4-5
leptonica 1.86.0-1
less 1:685-1
level-zero-loader 1.24.3-1
lhasa 0.4.0-1
lib2geom 1.4-2
lib32-acl 2.3.2-1
lib32-alsa-lib 1.2.14-2
lib32-alsa-plugins 1.2.12-1
lib32-at-spi2-core 2.58.2-1
lib32-attr 2.5.2-1
lib32-audit 4.1.2-1
lib32-brotli 1.1.0-1
lib32-bzip2 1.0.8-4
lib32-cairo 1.18.4-1
lib32-curl 8.17.0-1
lib32-dbus 1.16.2-1
lib32-e2fsprogs 1.47.3-2
lib32-expat 2.7.3-1
lib32-fontconfig 2:2.17.1-1
lib32-freetype2 2.14.1-1
lib32-fribidi 1.0.16-2
lib32-gcc-libs 15.2.1+r301+gf24307422d1d-1
lib32-gdk-pixbuf2 2.44.4-1
lib32-gettext 0.26-1
lib32-glib2 2.86.2-1
lib32-glibc 2.42+r33+gde1fe81f4714-1
lib32-glu 9.0.3-2
lib32-gmp 6.3.0-2
lib32-gnutls 3.8.11-1
lib32-gtk2 2.24.33-5
lib32-harfbuzz 12.2.0-2
lib32-icu 78.1-2
lib32-json-c 0.18-2
lib32-keyutils 1.6.3-2
lib32-krb5 1.21.3-1
lib32-lcms2 2.17-1
lib32-libappindicator-gtk2 12.10.0.r298-2
lib32-libcap 2.77-1
lib32-libcups 2.4.11-1
lib32-libdatrie 0.2.13-3
lib32-libdbusmenu-glib 18.10.20180917-1
lib32-libdbusmenu-gtk2 16.04.0-6
lib32-libdrm 2.4.128-1
lib32-libelf 0.194-1
lib32-libffi 3.5.2-1
lib32-libgcrypt 1.11.2-1
lib32-libglvnd 1.7.0-1
lib32-libgpg-error 1.56-1
lib32-libice 1.1.1-2
lib32-libidn 1.43-1
lib32-libidn2 2.3.7-1
lib32-libindicator-gtk2 12.10.1-10
lib32-libjpeg-turbo 3.1.2-1
lib32-libldap 2.6.10-1
lib32-libnghttp2 1.68.0-1
lib32-libnghttp3 1.12.0-1
lib32-libnl 3.11.0-1
lib32-libnsl 2.0.1-1
lib32-libpcap 1.10.5-3
lib32-libpciaccess 0.18.1-1
lib32-libpng 1.6.51-1
lib32-libpng12 1.2.59-3
lib32-libpsl 0.21.5-1
lib32-librsvg 2:2.61.3-1
lib32-libsm 1.2.4-2
lib32-libssh2 1.11.1-1
lib32-libtasn1 4.20.0-1
lib32-libthai 0.1.29-3
lib32-libtiff 4.7.1-1
lib32-libtirpc 1.3.7-1
lib32-libunistring 1.3-1
lib32-libunwind 1.8.1-1
lib32-libx11 1.8.12-2
lib32-libxau 1.0.11-2
lib32-libxcb 1.17.0-1
lib32-libxcomposite 0.4.6-2
lib32-libxcrypt 4.5.2-1
lib32-libxcursor 1.2.3-1
lib32-libxdamage 1.1.6-2
lib32-libxdmcp 1.1.5-1
lib32-libxext 1.3.6-1
lib32-libxfixes 6.0.1-2
lib32-libxft 2.3.8-2
lib32-libxi 1.8.2-1
lib32-libxinerama 1.1.5-2
lib32-libxml2 2.15.1-4
lib32-libxrandr 1.5.4-1
lib32-libxrender 0.9.11-2
lib32-libxshmfence 1.3.3-1
lib32-libxss 1.2.4-2
lib32-libxtst 1.2.5-2
lib32-libxxf86vm 1.1.5-2
lib32-llvm-libs 1:21.1.6-1
lib32-lm_sensors 1:3.6.2-2
lib32-lz4 1.10.0-3
lib32-mesa 1:25.2.7-1
lib32-ncurses 6.5-2
lib32-nettle 3.10.2-1
lib32-nspr 4.38.2-1
lib32-nss 3.118.1-1
lib32-openssl 1:3.6.0-1
lib32-p11-kit 0.25.10-2
lib32-pam 1.7.1-1
lib32-pango 1:1.57.0-2
lib32-pcre 8.45-4
lib32-pcre2 10.47-1
lib32-pixman 0.46.4-1
lib32-readline 8.3.001-1
lib32-spirv-tools 1:1.4.328.1-1
lib32-sqlite 3.51.0-1
lib32-stderred-git v1.0.r37.g399e3b1-1
lib32-systemd 258.2-1
lib32-util-linux 2.41.2-1
lib32-vulkan-icd-loader 1.4.328.1-1
lib32-vulkan-mesa-device-select 1:25.2.7-1
lib32-vulkan-radeon 1:25.2.7-1
lib32-wayland 1.24.0-1
lib32-xcb-util-keysyms 0.4.1-2
lib32-xz 5.8.1-1
lib32-zlib 1.3.1-2
lib32-zstd 1.5.7-2
lib3mf 2.3.2-3
libabw 0.1.3-5
libaccounts-glib 1.27-3
libaccounts-qt 1.17-1
libad9361 0.3-2
libadwaita 1:1.8.2-1
libaec 1.1.4-2
libaemu 0.1.2-5
libaio 0.3.113-3
libantlr3c 3.5.3-1
libao 1.2.2-7
libappindicator 12.10.1-1
libarchive 3.8.3-1
libass 0.17.4-1
libassuan 3.0.0-1
libasyncns 1:0.8+r3+g68cd5af-3
libatasmart 0.19-7
libatomic_ops 7.8.2-1
libavc1394 0.5.4-7
libavif 1.3.0-3
libavtp 0.2.0-3
libayatana-appindicator 0.5.94-1
libayatana-indicator 0.9.4-1
libb2 0.98.1-3
libblake3 1.8.2-1
libblockdev 3.4.0-1
libblockdev-crypto 3.4.0-1
libblockdev-fs 3.4.0-1
libblockdev-loop 3.4.0-1
libblockdev-mdraid 3.4.0-1
libblockdev-nvme 3.4.0-1
libblockdev-part 3.4.0-1
libblockdev-smart 3.4.0-1
libblockdev-swap 3.4.0-1
libbluray 1.4.0-2
libbpf 1.5.1-1
libbraiding 1.3.1-1
libbs2b 3.1.0-9
libbsd 0.12.2-2
libbytesize 2.11-1
libcaca 0.99.beta20-5
libcacard 2.8.1-1
libcamera 0.5.2-1
libcamera-ipa 0.5.2-1
libcanberra 1:0.30+r2+gc0620e4-6
libcap 2.77-1
libcap-ng 0.8.5-3
libcbor 0.12.0-1
libcddb 1.3.2-9
libcdio 2.2.0-1
libcdio-paranoia 10.2+2.0.2-1
libcdr 0.1.8-3
libcerf 1:3.3-1
libcgif 0.5.0-1
libcheese 44.1-5
libcloudproviders 0.3.6-2
libcmis 0.6.2-6
libcolord 1.4.8-1
libconfig 1.8.1-1
libcroco 0.6.13-2
libcue 2.3.0-1
libcups 2:2.4.14-1
libcupsfilters 2.1.1-2
libcurl-gnutls 8.17.0-2
libdaemon 0.14-6
libdatachannel 0.24.0-1
libdatrie 0.2.13-4
libdbusmenu-glib 18.10.20180917-1
libdbusmenu-gtk2 16.04.0.r498-2
libdbusmenu-gtk3 18.10.20180917-1
libdbusmenu-qt5 0.9.3+16.04.20160218-7
libdc1394 2.2.7-1
libdca 0.0.7-2
libde265 1.0.16-2
libdecor 0.2.4-1
libdeflate 1.24-1
libdispatch 6.1-1
libdisplay-info 0.3.0-1
libdmtx 0.7.8-1
libdovi 3.3.2-1
libdrm 2.4.129-1
libdv 1.0.0-11
libdvbpsi 1:1.3.3-3
libdvdnav 7.0.0-1
libdvdread 7.0.1-1
libe-book 0.1.3-19
libebml 1.4.5-1
libebur128 1.2.6-2
libedit 20250104_3.1-1
libei 1.5.0-1
libelf 0.194-1
libepoxy 1.5.10-3
libepubgen 0.1.1-5
libetonyek 0.1.13-1
libev 4.33-4
libevdev 1.13.5-1
libevent 2.1.12-4
libewf 20140816-1
libexif 0.6.25-1
libexttextcat 3.4.7-1
libfabric 2.3.1-1
libfakekey 0.3-4
libfaketime 0.9.12-1
libfat-ogc 2.1.0-1
libfbclient 5.0.3-1
libfdk-aac 2.0.3-1
libffi 3.5.2-1
libfilezilla 1:0.52.0-1
libfishsound 1.0.1-2
libfontenc 1.1.8-1
libfprint 1.94.9-1
libfreeaptx 0.2.2-1
libfreehand 0.1.2-5
libftdi 1.5-7
libftdi-compat 0.20-10
libfyaml 0.9-1
libgcrypt 1.11.2-1
libgdata 0.18.1-4
libgdiplus 6.2-1
libgee 0.20.8-1
libgexiv2 0.14.6-1
libgig 4.4.1-1
libgirepository 1.86.0-1
libgit2 1:1.9.1-1
libglade 2.6.4-7
libglvnd 1.7.0-3
libgme 0.6.4-1
libgnomekbd 1:3.28.1-1
libgoa 3.56.2-1
libgooglepinyin 0.1.2-6
libgpg-error 1.56-1
libgphoto2 2.5.33-1
libgrss 0.7.0+16+g971c421-4
libgsf 1.14.53-2
libgssglue 0.9-1
libgtop 2.41.3-2
libgudev 238-3
libgusb 0.4.9-2
libgxflux 20230423-3
libgxps 0.3.2-5
libhandy 1.8.3-2
libheif 1.20.2-3
libhomfly 1.03-1
libibus 1.5.33-1
libical 3.0.20-3
libice 1.1.2-1
libid3tag 0.16.3-2
libidn 1.43-1
libidn2 2.3.7-1
libiec61883 1.2.0-9
libieee1284 0.2.11-18
libiio 0.26-4
libimagequant 4.4.1-1
libimobiledevice 1.4.0-1
libimobiledevice-glue 1.3.2-1
libindicator 12.10.1-11
libindicator-gtk2 12.10.1-10
libinih 61-1
libinput 1.29.2-1
libinstpatch 1.1.7-2
libiptcdata 1.0.5-4
libiscsi 1.20.0-2
libisl 0.27-1
libite 2.2.0-1
libixion 0.20.0-3
libjaylink 0.4.0-1
libjcat 0.2.5-1
libjpeg-turbo 3.1.2-1
libjuice 1.7.0-1
libjxl 0.11.1-5
libkate 0.4.3-1
libkdegames 25.08.3-1
libkexiv2 25.08.3-1
libkeybinder3 0.3.2-5
libkeyfinder 2.2.8-1
libksba 1.6.7-2
liblangtag 0.6.8-1
liblc3 1.1.3-1
libldac 2.0.2.3-2
libldap 2.6.10-2
liblo 1:0.34-1
liblouis 3.35.0-1
liblqr 0.4.3-1
liblrdf 0.6.1-5
liblsp-r3d-glx-lib 1.2.25-1
libltc 1.3.2-2
libluv 1.51.0-1
liblzf 3.6-5
libmad 0.15.1b-10
libmagick6 6.9.11.56-1
libmalcontent 0.13.1-1
libmanette 0.2.13-1
libmatroska 1.7.1-2
libmaxminddb 1.12.2-2
libmbim 1.32.0-1
libmcrypt 2.5.8-7
libmd 1.1.0-2
libmemcached-awesome 1.1.4-3
libmfx 23.2.2-5
libmicrodns 0.2.0-2
libmicrohttpd 1.0.2-1
libmikmod 3.3.13-1
libmm-glib 1.24.2-1
libmms 0.6.4-5
libmng 2.0.3-4
libmnl 1.0.5-2
libmodplug 0.8.9.0-6
libmp4v2 1:2.1.3-2
libmpc 1.3.1-2
libmpcdec 1:0.1+r475-6
libmpdclient 2.23-1
libmpeg2 0.5.1-11
libmspack 1:1.11-1
libmspub 0.1.4-18
libmtp 1.1.22-1
libmupdf 1.26.11-1
libmwaw 0.3.22-3
libmypaint 1.6.1-2
libmythes 1:1.2.5-2
libnautilus-extension 49.2-1
libndp 1.9-1
libnet 2:1.3-1
libnetfilter_conntrack 1.0.9-2
libnewt 0.52.25-1
libnfnetlink 1.0.2-2
libnfs 6.0.2-5
libnftnl 1.3.0-1
libnghttp2 1.68.0-1
libnghttp3 1.12.0-1
libngtcp2 1.17.0-1
libnice 0.1.22-2
libnl 3.11.0-1
libnm 1.54.2-1
libnma 1.10.6-3
libnma-common 1.10.6-3
libnotify 0.8.7-1
libnsl 2.0.1-1
libnumbertext 1.0.11-2
libnvme 1.16.1-1
libodfgen 0.1.8-5
libofa 0.9.3-10
libogc 2.13.0-1
libogg 1.3.6-1
liboggz 1.1.3-1
libomxil-bellagio 0.9.3-5
libopenaptx 0.2.0-1
libopenmpt 0.8.3-1
liborcus 0.21.0-2
libosinfo 1.12.0-2
libotf 0.9.16-6
libotr 4.1.1-6
libp11-kit 0.25.10-2
libpagemaker 0.0.4-4
libpaper 2.2.6-1
libpcap 1.10.5-3
libpciaccess 0.18.1-2
libpeas 1.36.0-7
libpfm 4.13.0+r83+g91970fe-1
libpgm 5.3.128-3
libpipeline 1.5.8-1
libpipewire 1:1.4.9-1
libplacebo 7.351.0-3
libplist 2.7.0-1
libpng 1.6.51-1
libpng12 1.2.59-2
libportal 0.9.1-2
libportal-gtk3 0.9.1-2
libportal-gtk4 0.9.1-2
libppd 2.1.1-1
libprocps 3.3.17-4
libproxy 0.5.11-1
libpsl 0.21.5-2
libpulse 17.0+r93+gbe2efb69b-1
libpwquality 1.4.5-6
libqmi 1.36.0-1
libqrtr-glib 1.2.2-4
libquvi 0.9.4-7
libquvi-scripts 0.9.20131130-5
libqxp 0.0.2-14
libraqm 0.10.3-1
libraw 0.21.4-1
libraw1394 2.1.2-4
libreoffice-fresh 25.8.3-2
librest 0.10.2-1
librevenge 0.0.5-3
librsvg 2:2.61.3-1
librsync 1:2.3.4-2
libsamplerate 0.2.2-3
libsasl 2.1.28-5
libsavitar 4.13.0-1
libsbsms 2.3.0-5
libscanmem 0.17-10
libseccomp 2.5.6-1
libsecp256k1 1:0.5.1-1
libsecret 0.21.7-1
libserialport 0.1.2-1
libshout 1:2.4.6-5
libsidplayfp 2.15.2-1
libsigc++ 2.12.1-1
libsigc++-3.0 3.6.0-1
libsigrok 0.5.2-24
libsigrokdecode 0.5.3-9
libsigsegv 2.15-1
libsixel 1.10.5-1
libslirp 4.9.1-1
libsm 1.2.6-1
libsmbios 2.4.3-8
libsndfile 1.2.2-4
libsodium 1.0.20-1
libsoup 2.74.3-4
libsoup3 3.6.5-1
libsoxr 0.1.3-4
libspectre 0.2.12-2
libspeechd 0.12.1-2
libspiro 1:20240903-1
libspnav 1.2-1
libsrtp 1:2.7.0-1
libssh 0.11.3-1
libssh2 1.11.1-1
libstaroffice 0.0.7-4
libstemmer 3.0.1-1
libsynctex 2025.2-3
libsysprof-capture 49.0-1
libtar 1.2.20-7
libtasn1 4.20.0-1
libtatsu 1.0.5-1
libteam 1.32-3
libtermkey 0.22-3
libtg_owt 0.git32.ec53225-1
libthai 0.1.29-3
libtheora 1.2.0-1
libthinkpad 2.6-4
libtiff 4.7.1-1
libtiger 0.3.4-8
libtirpc 1.3.7-1
libtommath 1.3.0-2
libtool 2.6.0-1
libtorrent-rasterbar 1:2.0.11-5
libtpms 0.10.1-1
libtraceevent 1:1.8.6-1
libtracefs 1.8.2-2
libu2f-host 1.1.10-4
libuev 2.3.0-1
libuhd 4.9.0.1-2
libunibreak 6.1-1
libunistring 1.3-1
libunwind 1.8.2-1
libupnp 1.14.25-1
liburcu 0.15.4-1
liburing 2.12-1
libusb 1.0.29-1
libusb-compat 0.1.8-2
libusbmuxd 2.1.1-1
libutempter 1.2.3-1
libutf8proc 2.10.0-2
libuv 1.51.0-1
libva 2.22.0-1
libvdpau 1.5-3
libverto 0.3.2-5
libvips 8.17.2-1
libvisio 0.1.10-2
libvisual 0.4.2-2
libvlc 3.0.21-31
libvoikko 4.3.3-1
libvolk 2:3.2.0-1
libvorbis 1.3.7-4
libvpl 2.15.0-1
libvpx 1.15.2-2
libvterm 0.3.3-2
libvterm01 0.1.4-2
libwacom 2.17.0-1
libwbclient 2:4.23.3-2
libwebp 1.6.0-2
libwebsockets 4.4.1-1
libwmf 0.2.13-4
libwpd 0.10.3-5
libwpe 1.16.3-1
libwpg 0.3.4-2
libwps 0.4.14-3
libx11 1.8.12-1
libxau 1.0.12-1
libxaw 1.0.16-1
libxcb 1.17.0-1
libxcomposite 0.4.6-2
libxcrypt 4.5.2-1
libxcursor 1.2.3-1
libxcvt 0.1.3-1
libxdamage 1.1.6-2
libxdg-basedir 1.2.3-2
libxdmcp 1.1.5-1
libxdp 1.5.7-1
libxext 1.3.6-1
libxfixes 6.0.2-1
libxfont2 2.0.7-1
libxft 2.3.9-1
libxi 1.8.2-1
libxinerama 1.1.5-2
libxkbcommon 1.13.0-1
libxkbcommon-x11 1.13.0-1
libxkbfile 1.1.3-1
libxklavier 5.4-7
libxml2 2.15.1-4
libxmlb 0.3.24-1
libxmp 4.6.3-1
libxmu 1.2.1-1
libxnvctrl 580.105.08-1
libxp 1.0.4-3
libxpm 3.5.17-2
libxpresent 1.0.2-1
libxrandr 1.5.4-1
libxrender 0.9.12-1
libxres 1.2.3-1
libxshmfence 1.3.3-1
libxslt 1.1.43-2
libxss 1.2.5-1
libxt 1.3.1-1
libxtst 1.2.5-1
libxv 1.0.13-1
libxvmc 1.0.14-1
libxxf86vm 1.1.6-1
libyaml 0.2.5-3
libyuv r2426+464c51a03-1
libzip 1.11.4-1
libzmf 0.0.2-19
licenses 20240728-1
lilv 0.24.26-1
lilypond 2.24.4-5
linbox 1.7.1-1
linux 6.17.8.arch1-1
linux-api-headers 6.17-1
linux-docs 6.17.8.arch1-1
linux-firmware 20251111-1
linux-firmware-amdgpu 20251111-1
linux-firmware-atheros 20251111-1
linux-firmware-broadcom 20251111-1
linux-firmware-cirrus 20251111-1
linux-firmware-intel 20251111-1
linux-firmware-mediatek 20251111-1
linux-firmware-nvidia 20251111-1
linux-firmware-other 20251111-1
linux-firmware-radeon 20251111-1
linux-firmware-realtek 20251111-1
linux-firmware-whence 20251111-1
linux-headers 6.17.8.arch1-1
linux-tools-meta 6.17-2
linuxsampler 2.3.1-1
lirc 1:0.10.2-5
lld 21.1.6-1
llhttp 9.2.1-2
llvm 21.1.6-1
llvm-libs 21.1.6-1
lm_sensors 1:3.6.2-1
lmdb 0.9.33-1
lmms 1.2.2-26
localsearch 3.10.1-2
log4cpp 1.1.4-2
lolcat 100.0.1-5
lpsolve 5.5.2.11-3
lrcalc 2.1-7
lsb-release 2.0.r55.a25a4fc-1
lshw B.02.20-1
lsof 4.99.5-2
lsp-plugins 1.2.25-1
lsp-plugins-clap 1.2.25-1
lsp-plugins-gst 1.2.25-1
lsp-plugins-ladspa 1.2.25-1
lsp-plugins-lv2 1.2.25-1
lsp-plugins-standalone 1.2.25-1
lsp-plugins-vst 1.2.25-1
lsp-plugins-vst3 1.2.25-1
ltrace 0.7.3-6
lua 5.4.8-2
lua-lpeg 1.1.0-4
lua51-lpeg 1.1.0-4
lua52 5.2.4-8
lua52-bitop 1.0.2-10
lua52-expat 1.5.2-1
lua52-lpeg 1.1.0-4
lua52-luajson 1.3.4-4
lua52-socket 1:3.1.0-1
lua53 5.3.6-4
luajit 2.1.1763318511+e17ee83-1
luit 20250912-1
lv2 1.18.10-2
lvm2 2.03.37-1
lynx 2.9.2-2
lz4 1:1.10.0-2
lzo 2.10-5
m17n-db 1.8.10-1
m17n-lib 1.8.5-2
m4 1.4.20-1
m4ri 20250128-1
m4rie 20250128-1
macchanger 1.7.0-6
mailcap 2.1.54-2
maim 5.8.1-3
make 4.4.1-2
mallard-ducktype 1.0.2-12
man-db 2.13.1-1
man-pages 6.16-1
mariadb 12.1.2-1
mariadb-clients 12.1.2-1
mariadb-libs 12.1.2-1
mate-desktop 1.28.2-2
mate-utils 1.28.0-2
mathjax 4.0.0-1
mathjax2 2.7.9-2
maxima 5.48.1-8
maxima-ecl 5.48.1-8
maxima-fas 5.48.1-8
mbedtls 3.6.4-1
mcp-plugins 0.4.0-7
md4c 0.5.2-1
mdadm 4.4-2
media-player-info 26-1
medusa 2.2-13
mesa 1:25.2.7-1
mesa-demos 9.0.0-7
meson 1.9.1-2
metis 5.1.0.p10-2
mftrace 1.2.20-4
minecraft-launcher 1:1.0.1221-1
miniupnpc 2.3.3-1
minizip 1:1.3.1-2
mips-linux-binutils-bin 2.9.5-1
mips-linux-gnu-binutils 2.35-1
mips64-elf-binutils 2.37-1
mips64-elf-gcc 11.2.0-1
mips64-elf-newlib 4.1.0-3
mirrorlist-rankmirrors-hook 2-1
mixxx 2.5.3-4
mjpegtools 2.2.1-3
mkinitcpio 40-2
mkinitcpio-busybox 1.36.1-1
mlt 7.34.1-1
mobile-broadband-provider-info 20251101-1
modemmanager 1.24.2-1
mongo-c-driver 1.30.6-1
mono 6.12.0.206-1
mono-msbuild 16.10.1.xamarinxplat.2021.05.26.14.00-5
mono-msbuild-sdkresolver 16.10.1.xamarinxplat.2021.05.26.14.00-5
mons 0.8.2-1
moome-git 1.0-1
moosefs 4.58.2-1
movit 1.7.1-2
mozilla-common 1.4-6
mpc 0.35-1
mpd 0.24.6-2
mpdecimal 4.0.1-1
mpfi 1.5.4-5
mpfr 4.2.2-1
mpg123 1.33.3-1
mpv 1:0.40.0-7
ms-sys 1:2.6.0-1
msgpack-c 6.1.0-2
msmtp 1.8.32-1
msmtp-mta 1.8.32-1
msodbcsql 17.8.1.1-1
mssql-tools 17.8.1.1-1
mtd-utils 2.1.6-1
mtdev 1.1.7-1
mtr 0.96-1
mujs 1.3.8-1
multimc-git 0.6.15.r50.g214d615d-1
multimon-ng 1.3.1-1
multipath-tools 0.13.0-1
mupdf 1.26.11-1
musl 1.2.5-6
mypaint-brushes1 1.3.1-2
namcap 3.6.0-2
nasm 3.01-1
nautilus 49.2-1
nauty 1:2.9.1-1
ncmpcpp 0.10.1-6
ncrack 0.7-3
ncurses 6.5-4
ncurses5-compat-libs 6.1-1
ndctl 79-1
neofetch 7.1.0-2
neon 0.35.0-1
neovim 0.11.5-1
neovim-plug 0.10.0-3
neovim-qt 0.2.19-1
net-snmp 5.9.4-7
net-tools 2.10-3
netctl 1.29-2
nethack 3.6.7-6
netpbm 10.86.48-1
netstandard-targeting-pack 9.0.9.sdk110-1
nettle 3.10.2-1
networkmanager 1.54.2-1
networkmanager-dmenu-git r108.c8fb2a7-1
nfs-utils 2.8.4-1
nfsidmap 2.8.4-1
nftables 1:1.1.5-1
ngrok 3.33.1-1
ngspice 45.2-1
ninja 1.13.1-2
nload 0.7.4-9
nlopt 2.10.0-4
nm-connection-editor 1.36.0-1
nmap 7.98-3
nng 1.11-2
node-gyp 12.1.0-1
nodejs 25.2.1-1
nodejs-nopt 7.2.1-1
normaliz 3.11.0-1
notification-daemon 3.20.0-7
noto-fonts 1:2025.11.01-1
noto-fonts-cjk 20240730-1
noto-fonts-emoji 1:2.051-1
noto-fonts-extra 1:2025.11.01-1
npm 11.6.3-1
npth 1.8-1
nspr 4.38.2-1
nss 3.118.1-1
ntfs-3g 2022.10.3-2
ntk 1.3.1001-4
ntl 11.6.0-1
numactl 2.0.19-1
nvidia 580.105.08-3
nvidia-settings 580.105.08-1
nvidia-utils 580.105.08-4
nyx 2.1.0-9
oath-toolkit 2.6.13-1
obs-studio 32.0.2-2
ocl-icd 2.3.4-1
ogc-cmake 1.2.1-1
okular 25.08.3-1
one_gadget 1.10.0-4
onednn 3.10.1-1
onetbb 2022.3.0-2
oniguruma 6.9.10-1
openal 1.24.3-2
opencascade 1:7.9.2-1
opencl-headers 2:2025.07.22-1
opencl-nvidia 580.105.08-4
opencore-amr 0.1.6-2
opencsg 1.8.1-1
opencv 4.12.0-13
opendesktop-fonts 1.4.2-7
openexr 3.4.4-1
openh264 2.6.0-1
openjade 1.3.2-9
openjdk8-src 8.472.u08-1
openjpeg 1.5.2-3
openjpeg2 2.5.4-1
openmp 21.1.6-1
openmpi 5.0.9-2
openocd 1:0.12.0-5
openpmix 5.0.9-1
openresolv 3.17.0-1
opensc 0.26.1-1
openscad 2021.01-18
opensp 1.5.2-10
openssh 10.2p1-2
openssl 3.6.0-1
openssl-1.0 1.0.2.u-1
openssl-1.1 1.1.1.w-2
openucx 1.19.0-3
openvpn 2.6.16-1
opera-ffmpeg-codecs 120.0.6099.109-1
opus 1.5.2-1
opusfile 0.12-4
orc 0.4.41-1
os-prober 1.83-1
osinfo-db 20250606-1
osinfo-db-tools 1.12.0-2
osm-gps-map 1.2.0-2
ostree 2025.7-1
otf-cormorant 3.609-2
otf-fantasque-sans-mono 1.8.0-3
otf-fira-code 4-1
otf-fira-mono 2:3.206-4
otf-fira-sans 1:4.301-2
otf-font-awesome 7.1.0-1
otf-ipaexfont 004.01-5
otf-ipafont 003.03-9
otf-ipamjfont 006.01-3
otf-latin-modern 2.006-1
otf-latinmodern-math 1.959-5
otf-overpass 3.0.5-2
p11-kit 0.25.10-2
pacman 7.0.0.r6.gc685ae6-6
pacman-contrib 1.13.0-1
pacman-mirrorlist 20251021-1
pacutils 0.15.0-1
pahole 1:1.31-1
palp 1:2.21-4
pam 1.7.1-1
pam-python 1.0.7-1
pam_wrapper 1.1.8-1
pambase 20250719-1
