7zip 25.01-1
cups 2:2.4.14-1
cups-filters 2.0.1-2
curaengine 4.13.1-3
curl 8.17.0-2
curlftpfs 0.9.2-10
cvc4 1.8-3
cython 3.2.1-1
d2x-rebirth 20210623-1
darktable 2:5.2.1-4
dash 0.5.12-1
dav1d 1.5.2-1
db 6.2.32-3
db5.3 5.3.28-5
dbus 1.16.2-1
dbus-broker 37-2
dbus-broker-units 37-2
dbus-glib 0.114-1
dbview 1.0.4-2
dconf 0.49.0-1
dcraw 9.28.0-5
ddcutil 2.2.3-1
ddrescue 1.29.1-1
debootstrap 1.0.141-1
debugedit 5.2-1
debuginfod 0.194-1
default-cursors 3-1
desktop-file-utils 0.28-1
device-mapper 2.03.37-1
devkit-env 1.0.1-2
devkitPPC r47.1-1
devkitPPC-gdb 14.1-2
devkitppc-cmake 1.1.4-1
devkitppc-rules 1.2.1-1
devkitpro-keyring 20241017-2
dfu-util 0.11-3
dhcp 4.4.3.P1-4
dhcpcd 10.3.0-1
dialog 1:1.3_20250116-1
diffstat 1.68-1
diffutils 3.12-2
dina-font 2.92-10
ding-libs 0.6.2-2
direnv 2.37.1-1
dirsearch-git 1:0.4.2.r15.a0e8d14-1
discord 1:0.0.115-1
discord-update-skip-git r4.97eedf2-1
discount 3.0.0.d-1
displaylink-beta 5.5.0-1
distro-info 1.11-1
distro-info-data 0.63-1
dive 0.13.1-1
djvulibre 3.5.29-1
dkms 3.3.0-1
dkp-cmake-common-utils 1.5.2-1
dmenu 5.4-1
dmenu-bluetooth r35.4abb205-1
dmidecode 3.6-1
dmraid 1.0.0.rc16.3-15
dnsmasq 2.91-1
dnssec-anchors 20250524-1
docbook-dsssl 1.79-10
docbook-sgml31 3.1-7
docbook-utils 0.6.14-13
docbook-xml 4.5-11
docbook-xsl 1.79.2-9
docbook5-xml 5.1-5
dockd 1.3-2
docker 1:28.5.2-1
docker-buildx 0.30.1-1
docker-compose 2.40.3-1
dosbox 0.74.3-3
dosfstools 4.2-5
